SATISFACTION_LEVEL,LAST_EVALUATION,NUMBER_PROJECT,AVERAGE_MONTLY_HOURS,TIME_SPEND_COMPANY,WORK_ACCIDENT,QUIT_THE_COMPANY,PROMOTION_LAST_5YEARS,DEPARTMENTS,SALARY,EMPLOYEE_ID,ABSENTEEISM,JOB_ROLE,MANAGER_FEEDBACK_SCORE,REMOTE_WORK,ENGAGEMENT_SCORE
0.61,0.45,3.0,114,3.0,0.0,0,0,sales,high,EMP07882,3,Sales Executive,4.5,1,0.53
0.43,0.51,2.0,130,3.0,0.0,1,0,IT,low,EMP00748,5,IT Support,3.1,1,0.37
0.96,0.62,5.0,128,5.0,0.0,0,0,support,low,EMP02343,8,Customer Support,9.9,0,0.98
0.74,1.00,4.0,199,4.0,0.0,0,0,management,high,EMP04128,7,Operations Manager,7.9,0,0.76
0.61,0.92,3.0,222,4.0,0.0,0,0,sales,medium,EMP05136,7,Sales Executive,6.0,0,0.60
0.74,0.95,4.0,237,3.0,1.0,0,0,marketing,medium,EMP07717,6,Marketing Analyst,7.4,0,0.74
0.69,0.68,4.0,214,4.0,0.0,0,0,accounting,low,EMP09648,8,Financial Analyst,8.2,1,0.75
0.38,0.55,2.0,148,3.0,0.0,1,0,support,low,EMP00591,11,Customer Support,4.4,1,0.41
0.68,0.51,5.0,158,3.0,0.0,0,0,technical,medium,EMP06830,2,Software Engineer,7.3,0,0.70
0.66,0.89,4.0,169,4.0,0.0,0,0,support,low,EMP13177,9,Customer Support,7.4,0,0.70
0.45,0.46,2.0,155,3.0,0.0,1,0,sales,low,EMP14457,19,Sales Executive,4.2,0,0.44
0.91,0.82,3.0,183,3.0,0.0,0,0,technical,medium,EMP02255,5,Software Engineer,10.0,1,0.96
0.37,0.57,2.0,129,3.0,0.0,1,0,product_mng,low,EMP12753,9,Product Manager,1.4,1,0.26
0.96,0.61,4.0,158,6.0,0.0,0,0,technical,medium,EMP07440,8,Software Engineer,10.0,1,0.98
0.99,0.37,5.0,155,3.0,0.0,0,0,sales,low,EMP03450,9,Sales Executive,10.0,0,1.00
0.60,0.97,3.0,187,3.0,1.0,0,0,sales,medium,EMP06435,3,Sales Executive,6.2,0,0.61
0.25,0.82,3.0,269,5.0,0.0,0,0,sales,low,EMP04217,6,Sales Executive,2.6,0,0.26
0.51,0.49,4.0,234,2.0,0.0,0,0,sales,medium,EMP02454,9,Sales Executive,4.9,0,0.50
0.63,0.79,5.0,215,2.0,1.0,0,0,accounting,medium,EMP05602,2,Financial Analyst,7.4,1,0.68
0.73,0.88,5.0,134,2.0,1.0,0,0,support,low,EMP09056,2,Customer Support,7.3,0,0.73
0.85,0.64,5.0,256,7.0,0.0,0,0,product_mng,low,EMP11960,4,Product Manager,9.4,0,0.90
0.73,0.52,4.0,162,3.0,0.0,0,0,product_mng,low,EMP02127,0,Product Manager,9.7,0,0.85
0.89,0.89,3.0,138,2.0,0.0,0,0,RandD,medium,EMP04654,2,Research Scientist,7.9,0,0.84
0.66,0.65,3.0,196,3.0,1.0,0,0,technical,low,EMP10805,8,Software Engineer,5.6,1,0.61
0.16,0.83,5.0,173,4.0,0.0,0,0,IT,high,EMP10679,10,IT Support,1.6,1,0.16
0.76,0.85,3.0,204,2.0,1.0,0,0,product_mng,medium,EMP09304,1,Product Manager,6.3,0,0.70
0.40,0.54,2.0,141,3.0,0.0,1,0,technical,medium,EMP12646,17,Software Engineer,2.8,1,0.34
0.82,0.58,5.0,227,3.0,0.0,0,0,RandD,low,EMP07403,1,Research Scientist,7.5,1,0.78
0.90,0.98,5.0,245,5.0,0.0,1,0,IT,low,EMP14429,3,IT Support,9.1,0,0.90
0.56,0.84,5.0,154,2.0,1.0,0,0,support,low,EMP08978,6,Customer Support,5.8,0,0.57
0.16,0.96,6.0,211,6.0,1.0,0,0,RandD,low,EMP04882,9,Research Scientist,2.8,1,0.22
0.98,0.87,5.0,151,6.0,0.0,0,0,IT,medium,EMP07924,6,IT Support,10.0,1,0.99
0.61,0.95,5.0,233,3.0,0.0,0,0,technical,medium,EMP02100,6,Software Engineer,7.1,1,0.66
0.49,0.48,3.0,190,2.0,0.0,0,0,technical,medium,EMP04245,18,Software Engineer,4.6,0,0.48
0.67,0.60,3.0,157,3.0,0.0,0,0,marketing,low,EMP03367,5,Marketing Analyst,4.9,1,0.58
0.46,0.57,2.0,152,3.0,0.0,1,0,support,low,EMP00587,9,Customer Support,2.7,1,0.36
0.73,0.52,4.0,141,3.0,0.0,0,0,support,medium,EMP10433,1,Customer Support,8.3,1,0.78
0.78,0.93,4.0,161,3.0,0.0,0,0,sales,low,EMP09023,2,Sales Executive,8.6,1,0.82
0.90,0.77,3.0,156,3.0,0.0,0,0,sales,medium,EMP02992,9,Sales Executive,8.4,1,0.87
0.79,0.70,3.0,195,2.0,0.0,0,0,product_mng,low,EMP09378,4,Product Manager,6.5,1,0.72
0.13,0.90,5.0,264,6.0,0.0,0,0,technical,high,EMP13354,18,Software Engineer,1.0,0,0.12
0.68,0.51,4.0,224,2.0,0.0,0,0,technical,low,EMP02944,3,Software Engineer,7.0,0,0.69
0.58,0.76,4.0,197,5.0,0.0,0,0,sales,low,EMP11928,0,Sales Executive,6.0,0,0.59
0.14,0.73,6.0,237,5.0,0.0,0,0,IT,medium,EMP12960,8,IT Support,2.4,1,0.19
0.58,0.79,4.0,130,3.0,0.0,0,0,IT,medium,EMP08995,5,IT Support,5.3,0,0.55
0.09,0.87,7.0,295,4.0,0.0,1,0,product_mng,low,EMP12074,17,Product Manager,1.0,0,0.10
0.68,1.00,6.0,258,5.0,0.0,0,0,sales,low,EMP04456,0,Sales Executive,7.9,0,0.74
0.96,0.55,3.0,164,3.0,0.0,0,0,sales,medium,EMP11554,3,Sales Executive,7.5,0,0.86
0.98,0.56,5.0,188,3.0,0.0,0,0,technical,low,EMP10499,5,Software Engineer,10.0,1,0.99
0.22,0.85,6.0,172,6.0,1.0,0,0,technical,medium,EMP09736,12,Software Engineer,1.9,0,0.20
0.74,0.98,4.0,160,2.0,0.0,0,0,support,low,EMP09905,9,Customer Support,8.1,0,0.77
0.65,0.70,3.0,243,3.0,0.0,0,0,sales,medium,EMP05981,3,Sales Executive,7.0,0,0.68
0.39,0.50,2.0,136,3.0,0.0,1,0,management,low,EMP12159,12,Operations Manager,3.2,1,0.36
0.96,0.62,5.0,230,2.0,0.0,0,0,sales,medium,EMP10241,4,Sales Executive,9.1,0,0.94
0.81,0.45,6.0,98,3.0,0.0,0,0,sales,low,EMP07040,7,Sales Executive,5.8,1,0.70
0.31,0.56,4.0,238,2.0,0.0,1,0,accounting,medium,EMP12379,10,Financial Analyst,3.3,0,0.32
0.95,0.49,4.0,146,6.0,1.0,0,0,IT,low,EMP03044,4,IT Support,10.0,0,0.98
0.58,0.97,5.0,202,2.0,0.0,0,0,IT,low,EMP02656,5,IT Support,5.4,1,0.56
0.32,0.72,2.0,240,5.0,0.0,0,0,IT,low,EMP04795,19,IT Support,4.1,1,0.36
0.56,0.73,4.0,134,3.0,0.0,0,0,accounting,medium,EMP03387,3,Financial Analyst,2.9,1,0.43
0.84,0.88,4.0,269,5.0,0.0,1,0,support,low,EMP00994,1,Customer Support,8.3,1,0.84
0.34,0.46,2.0,169,2.0,1.0,0,0,support,low,EMP03711,5,Customer Support,2.3,1,0.29
0.76,0.65,4.0,195,3.0,0.0,0,0,sales,low,EMP05815,5,Sales Executive,8.5,0,0.80
0.72,0.67,3.0,243,3.0,0.0,0,0,sales,low,EMP09860,7,Sales Executive,8.4,0,0.78
0.86,0.72,3.0,217,3.0,0.0,0,0,sales,low,EMP14130,6,Sales Executive,8.7,0,0.86
0.40,0.48,2.0,161,3.0,0.0,1,0,IT,medium,EMP01745,9,IT Support,4.1,1,0.40
0.84,0.93,6.0,166,4.0,0.0,0,0,technical,low,EMP05387,1,Software Engineer,7.7,0,0.80
0.63,0.65,3.0,162,2.0,0.0,0,0,technical,low,EMP10420,8,Software Engineer,4.8,0,0.55
0.80,0.90,4.0,211,8.0,0.0,0,0,accounting,medium,EMP11130,3,Financial Analyst,6.9,0,0.75
0.68,0.97,3.0,250,3.0,1.0,0,0,product_mng,medium,EMP13837,0,Product Manager,6.0,0,0.64
0.57,0.90,5.0,145,3.0,0.0,0,0,accounting,low,EMP11305,7,Financial Analyst,6.2,0,0.60
0.73,0.48,3.0,211,7.0,0.0,0,0,sales,medium,EMP11725,6,Sales Executive,7.0,1,0.72
0.62,0.56,4.0,267,4.0,0.0,0,0,support,medium,EMP07533,4,Customer Support,7.6,1,0.69
0.83,0.71,3.0,254,2.0,0.0,0,0,technical,low,EMP09280,9,Software Engineer,9.1,0,0.87
0.72,0.88,5.0,216,10.0,1.0,0,0,support,medium,EMP11512,4,Customer Support,6.4,0,0.68
0.66,0.89,4.0,139,3.0,0.0,0,0,product_mng,medium,EMP07927,6,Product Manager,7.2,0,0.69
0.50,0.95,5.0,207,3.0,0.0,0,0,technical,low,EMP02120,4,Software Engineer,4.6,0,0.48
0.63,0.83,6.0,242,5.0,0.0,1,0,accounting,low,EMP01454,5,Financial Analyst,7.2,0,0.68
0.84,0.56,5.0,97,6.0,0.0,0,0,technical,low,EMP06302,4,Software Engineer,9.5,0,0.90
1.00,0.83,4.0,280,4.0,1.0,0,0,sales,low,EMP10325,8,Sales Executive,10.0,0,1.00
0.61,0.86,3.0,238,2.0,0.0,0,0,sales,low,EMP09412,1,Sales Executive,7.7,1,0.69
0.66,0.72,4.0,137,3.0,0.0,0,0,technical,low,EMP09350,7,Software Engineer,6.7,1,0.66
0.98,0.92,4.0,201,3.0,1.0,0,0,support,low,EMP02110,2,Customer Support,9.5,0,0.96
0.88,0.93,4.0,177,3.0,0.0,0,0,sales,medium,EMP08956,6,Sales Executive,8.2,0,0.85
0.36,0.45,2.0,127,3.0,0.0,1,0,accounting,low,EMP12716,8,Financial Analyst,4.0,0,0.38
0.72,0.92,3.0,242,8.0,0.0,0,0,sales,medium,EMP13770,7,Sales Executive,7.3,1,0.72
0.52,0.98,4.0,148,3.0,0.0,0,0,sales,low,EMP05441,9,Sales Executive,5.7,0,0.55
0.09,0.98,6.0,271,4.0,0.0,1,0,sales,low,EMP12333,5,Sales Executive,1.2,0,0.10
0.71,0.97,3.0,173,2.0,1.0,0,0,marketing,medium,EMP08474,6,Marketing Analyst,9.1,1,0.81
0.51,0.64,3.0,267,2.0,0.0,0,0,sales,low,EMP02313,9,Sales Executive,4.6,0,0.48
0.76,0.81,5.0,270,4.0,0.0,0,0,technical,medium,EMP10288,4,Software Engineer,8.0,0,0.78
0.96,0.59,4.0,108,6.0,0.0,0,0,sales,low,EMP05447,7,Sales Executive,9.4,0,0.95
0.55,1.00,6.0,136,3.0,0.0,1,0,support,low,EMP01455,1,Customer Support,3.0,0,0.43
0.21,0.40,3.0,262,3.0,0.0,0,0,support,low,EMP05850,18,Customer Support,1.9,0,0.20
0.84,0.51,4.0,173,2.0,0.0,0,0,technical,low,EMP03324,3,Software Engineer,7.5,1,0.80
0.44,0.48,2.0,158,3.0,0.0,1,0,technical,low,EMP14904,10,Software Engineer,4.3,1,0.44
0.83,0.79,4.0,270,3.0,1.0,0,0,support,medium,EMP07079,0,Customer Support,8.3,0,0.83
0.85,0.82,4.0,270,5.0,0.0,1,0,sales,low,EMP14760,6,Sales Executive,8.9,0,0.87
0.77,0.82,4.0,134,3.0,0.0,0,1,sales,low,EMP11732,5,Sales Executive,7.2,0,0.74
0.10,0.94,6.0,287,4.0,0.0,1,0,technical,medium,EMP12422,5,Software Engineer,1.0,1,0.10
0.69,0.63,4.0,272,2.0,0.0,0,0,technical,low,EMP07979,0,Software Engineer,5.1,1,0.60
0.93,0.77,3.0,202,5.0,0.0,0,0,support,high,EMP05624,8,Customer Support,9.5,0,0.94
0.51,0.76,3.0,256,2.0,0.0,0,0,technical,medium,EMP07900,9,Software Engineer,6.2,1,0.56
0.17,0.88,6.0,226,3.0,1.0,0,0,technical,high,EMP03796,19,Software Engineer,2.4,1,0.20
0.90,0.55,4.0,211,3.0,0.0,0,0,accounting,medium,EMP09188,9,Financial Analyst,9.2,0,0.91
0.50,0.40,3.0,180,4.0,0.0,0,0,sales,medium,EMP04895,4,Sales Executive,6.3,0,0.56
0.69,0.84,3.0,227,3.0,1.0,0,0,sales,high,EMP04591,0,Sales Executive,8.0,1,0.74
0.73,0.88,5.0,233,4.0,1.0,0,0,sales,medium,EMP11018,5,Sales Executive,7.0,0,0.72
0.99,0.86,3.0,167,2.0,0.0,0,0,sales,low,EMP11124,5,Sales Executive,10.0,0,1.00
0.44,0.58,4.0,152,3.0,0.0,0,0,technical,low,EMP08664,12,Software Engineer,4.7,1,0.46
0.95,0.53,3.0,174,3.0,0.0,0,0,support,medium,EMP11058,7,Customer Support,9.4,0,0.94
0.58,0.86,4.0,257,3.0,0.0,0,0,sales,low,EMP07262,0,Sales Executive,6.9,1,0.64
0.25,0.98,6.0,287,5.0,1.0,0,0,sales,low,EMP08490,12,Sales Executive,2.3,0,0.24
0.59,0.53,5.0,169,3.0,0.0,0,0,technical,low,EMP11065,5,Software Engineer,5.4,0,0.56
0.53,0.89,3.0,167,2.0,0.0,0,0,product_mng,low,EMP10448,9,Product Manager,2.7,0,0.40
0.60,0.64,2.0,137,5.0,0.0,0,0,sales,medium,EMP02299,5,Sales Executive,4.7,0,0.54
0.72,0.87,5.0,223,5.0,0.0,1,0,sales,low,EMP00004,0,Sales Executive,7.2,0,0.72
0.59,0.77,3.0,272,8.0,0.0,0,0,management,high,EMP14187,5,Operations Manager,4.6,1,0.52
0.43,0.57,2.0,159,3.0,1.0,1,0,technical,low,EMP01954,6,Software Engineer,4.9,1,0.46
0.68,0.99,3.0,263,3.0,1.0,0,1,marketing,medium,EMP04739,7,Marketing Analyst,7.9,1,0.74
0.44,0.54,2.0,127,3.0,0.0,1,0,management,medium,EMP12768,19,Operations Manager,4.4,0,0.44
0.26,0.91,5.0,183,6.0,0.0,0,0,IT,medium,EMP10000,7,IT Support,1.6,1,0.21
0.56,0.79,4.0,197,2.0,0.0,0,0,support,medium,EMP07458,7,Customer Support,7.5,0,0.66
0.69,0.57,5.0,227,2.0,0.0,0,0,support,low,EMP04404,2,Customer Support,8.5,1,0.77
0.36,0.56,2.0,137,3.0,0.0,1,0,sales,low,EMP14226,14,Sales Executive,2.2,0,0.29
0.58,0.97,2.0,216,3.0,0.0,0,0,accounting,high,EMP09802,4,Financial Analyst,4.4,0,0.51
0.69,0.71,3.0,241,3.0,0.0,0,0,support,medium,EMP09591,9,Customer Support,5.8,0,0.64
0.60,0.91,4.0,185,3.0,1.0,0,0,product_mng,low,EMP09377,0,Product Manager,6.3,0,0.62
0.37,0.51,2.0,154,3.0,1.0,1,0,sales,low,EMP01845,15,Sales Executive,3.1,0,0.34
0.96,0.70,4.0,272,3.0,0.0,0,0,product_mng,high,EMP10677,8,Product Manager,8.8,0,0.92
0.85,0.69,4.0,216,4.0,0.0,0,0,management,low,EMP07866,1,Operations Manager,9.5,0,0.90
0.90,0.82,3.0,133,8.0,0.0,0,0,marketing,medium,EMP11977,9,Marketing Analyst,9.5,1,0.92
0.11,0.89,6.0,293,4.0,0.0,1,0,support,low,EMP14725,10,Customer Support,1.0,1,0.11
0.39,0.37,3.0,127,3.0,0.0,0,0,sales,low,EMP09947,10,Sales Executive,4.9,0,0.44
0.76,0.92,3.0,176,2.0,0.0,0,0,IT,medium,EMP13114,3,IT Support,8.1,0,0.78
0.78,0.63,5.0,261,3.0,0.0,0,0,technical,low,EMP10193,5,Software Engineer,8.3,0,0.80
0.89,0.70,4.0,235,2.0,1.0,0,0,accounting,high,EMP03388,5,Financial Analyst,8.3,1,0.86
0.53,0.81,3.0,226,3.0,1.0,0,0,sales,low,EMP02070,1,Sales Executive,3.3,0,0.43
0.57,0.72,4.0,275,6.0,0.0,1,0,technical,medium,EMP14789,3,Software Engineer,6.6,1,0.62
0.64,0.66,5.0,157,2.0,0.0,0,0,product_mng,low,EMP11420,0,Product Manager,5.4,0,0.59
0.17,0.92,4.0,189,2.0,0.0,0,0,technical,medium,EMP02178,14,Software Engineer,1.0,1,0.14
0.75,0.73,3.0,225,4.0,0.0,0,0,support,low,EMP03709,6,Customer Support,6.6,0,0.70
0.51,0.50,5.0,176,5.0,0.0,0,0,support,medium,EMP07256,2,Customer Support,4.4,0,0.48
0.19,0.58,4.0,173,5.0,0.0,0,0,accounting,medium,EMP10611,6,Financial Analyst,2.8,0,0.24
0.62,0.62,4.0,136,2.0,0.0,0,0,sales,medium,EMP04150,0,Sales Executive,6.2,0,0.62
0.77,0.55,2.0,172,2.0,0.0,0,0,technical,medium,EMP04853,2,Software Engineer,6.9,1,0.73
0.36,0.51,2.0,135,3.0,0.0,1,0,IT,low,EMP12372,19,IT Support,2.6,0,0.31
0.59,0.97,3.0,257,3.0,0.0,0,0,marketing,low,EMP10761,3,Marketing Analyst,5.3,0,0.56
0.85,0.72,3.0,150,2.0,1.0,0,0,technical,low,EMP10191,3,Software Engineer,8.4,1,0.84
0.37,0.85,2.0,185,3.0,0.0,0,0,product_mng,low,EMP09993,15,Product Manager,4.3,1,0.40
0.84,0.54,4.0,179,2.0,0.0,0,0,technical,low,EMP07597,9,Software Engineer,7.9,0,0.82
0.17,0.66,6.0,174,3.0,0.0,0,0,sales,medium,EMP11649,16,Sales Executive,1.2,0,0.15
0.96,0.87,4.0,187,2.0,0.0,0,0,marketing,medium,EMP09242,7,Marketing Analyst,8.7,0,0.91
0.78,0.58,3.0,154,3.0,0.0,0,0,IT,low,EMP04338,0,IT Support,6.6,0,0.72
0.49,0.49,6.0,188,3.0,0.0,0,0,sales,medium,EMP05445,9,Sales Executive,3.6,0,0.42
0.44,0.87,5.0,104,4.0,0.0,0,0,technical,high,EMP06456,12,Software Engineer,5.4,1,0.49
0.95,0.65,3.0,155,2.0,1.0,0,0,sales,medium,EMP07342,0,Sales Executive,9.0,0,0.92
0.98,0.99,3.0,253,4.0,0.0,0,0,sales,medium,EMP05126,2,Sales Executive,9.4,0,0.96
0.61,0.68,3.0,193,2.0,0.0,0,0,marketing,medium,EMP11979,3,Marketing Analyst,5.4,1,0.57
0.48,0.84,4.0,252,3.0,0.0,0,0,technical,medium,EMP02020,5,Software Engineer,5.2,1,0.50
0.21,0.81,5.0,169,4.0,0.0,0,0,support,medium,EMP08749,16,Customer Support,1.6,0,0.18
0.49,0.52,4.0,161,7.0,0.0,0,0,management,high,EMP13786,19,Operations Manager,5.1,0,0.50
0.90,0.78,5.0,215,3.0,0.0,0,1,technical,low,EMP04550,7,Software Engineer,10.0,1,0.95
0.38,0.46,2.0,147,3.0,0.0,1,0,support,low,EMP00971,13,Customer Support,3.0,0,0.34
0.22,0.60,3.0,205,6.0,1.0,0,0,sales,low,EMP02381,10,Sales Executive,1.8,0,0.20
0.93,0.51,4.0,110,3.0,0.0,0,0,product_mng,low,EMP11810,1,Product Manager,9.9,0,0.96
0.54,0.67,4.0,282,6.0,0.0,0,0,technical,medium,EMP02096,2,Software Engineer,6.9,0,0.62
0.84,0.59,3.0,234,3.0,1.0,0,0,sales,medium,EMP05982,5,Sales Executive,7.2,0,0.78
0.39,0.68,2.0,282,5.0,0.0,1,0,marketing,low,EMP14951,12,Marketing Analyst,2.2,0,0.31
0.90,0.89,4.0,254,7.0,0.0,0,0,product_mng,low,EMP11962,7,Product Manager,9.0,0,0.90
0.45,0.50,2.0,157,3.0,0.0,1,0,marketing,medium,EMP00389,10,Marketing Analyst,4.4,1,0.45
0.73,0.67,4.0,205,3.0,0.0,0,0,technical,low,EMP10880,6,Software Engineer,8.0,0,0.76
0.77,0.71,5.0,250,3.0,1.0,0,0,sales,medium,EMP13648,7,Sales Executive,7.7,0,0.77
0.82,0.85,3.0,214,2.0,0.0,0,0,support,high,EMP11240,6,Customer Support,9.2,0,0.87
0.73,0.86,4.0,245,6.0,0.0,1,0,sales,low,EMP00316,7,Sales Executive,6.6,0,0.70
0.09,0.78,6.0,254,4.0,0.0,1,0,support,low,EMP12279,9,Customer Support,1.1,0,0.10
0.92,0.84,3.0,220,3.0,1.0,0,0,technical,high,EMP07525,6,Software Engineer,8.0,1,0.86
0.73,0.86,4.0,133,3.0,0.0,0,0,technical,high,EMP05153,9,Software Engineer,7.3,0,0.73
0.09,0.83,6.0,282,4.0,0.0,1,0,technical,medium,EMP12730,10,Software Engineer,1.0,1,0.10
0.64,0.61,2.0,153,2.0,0.0,0,0,IT,low,EMP04718,9,IT Support,8.1,1,0.72
0.77,0.49,2.0,286,7.0,0.0,0,0,marketing,low,EMP11493,5,Marketing Analyst,5.9,1,0.68
0.60,0.66,5.0,143,2.0,0.0,0,0,technical,low,EMP10116,1,Software Engineer,5.8,1,0.59
0.65,0.79,4.0,196,2.0,0.0,0,0,accounting,medium,EMP06135,1,Financial Analyst,7.3,0,0.69
0.52,0.66,4.0,139,3.0,0.0,0,0,sales,low,EMP02088,4,Sales Executive,7.4,0,0.63
0.86,0.92,5.0,252,5.0,0.0,1,0,RandD,low,EMP00606,4,Research Scientist,8.8,1,0.87
0.78,0.80,3.0,135,7.0,0.0,0,0,sales,medium,EMP13801,6,Sales Executive,8.0,1,0.79
0.45,0.64,5.0,133,4.0,0.0,0,0,accounting,medium,EMP05217,12,Financial Analyst,4.5,1,0.45
0.85,0.60,3.0,182,3.0,0.0,0,0,IT,medium,EMP02055,6,IT Support,9.6,1,0.90
0.67,0.92,5.0,258,3.0,0.0,0,0,technical,high,EMP06455,4,Software Engineer,7.1,1,0.69
0.78,0.57,4.0,157,3.0,0.0,0,0,accounting,low,EMP13641,5,Financial Analyst,7.2,1,0.75
0.64,0.64,4.0,242,3.0,0.0,0,0,sales,medium,EMP08571,7,Sales Executive,7.5,1,0.70
0.77,0.71,2.0,242,2.0,0.0,0,0,marketing,medium,EMP05961,9,Marketing Analyst,7.2,0,0.74
0.84,0.69,4.0,149,3.0,0.0,0,0,marketing,medium,EMP07177,3,Marketing Analyst,6.8,0,0.76
0.41,0.52,2.0,132,3.0,0.0,1,0,RandD,low,EMP01369,14,Research Scientist,2.5,0,0.33
0.59,0.54,4.0,176,2.0,0.0,0,0,technical,medium,EMP11864,1,Software Engineer,6.9,1,0.64
0.73,0.67,4.0,205,3.0,0.0,0,0,technical,low,EMP13091,7,Software Engineer,7.9,0,0.76
0.57,0.82,5.0,233,7.0,0.0,0,1,sales,medium,EMP11727,9,Sales Executive,5.8,0,0.57
0.14,0.51,4.0,253,6.0,0.0,0,0,RandD,medium,EMP04348,7,Research Scientist,2.4,1,0.19
0.74,0.80,4.0,200,4.0,0.0,0,0,product_mng,low,EMP09991,4,Product Manager,7.4,0,0.74
0.21,0.65,3.0,183,3.0,0.0,0,0,technical,low,EMP09198,8,Software Engineer,1.0,0,0.16
0.55,0.61,3.0,209,3.0,0.0,0,0,technical,low,EMP07672,3,Software Engineer,4.0,1,0.48
0.55,0.55,4.0,257,3.0,0.0,0,0,product_mng,low,EMP09531,5,Product Manager,6.8,0,0.62
0.54,0.59,3.0,200,3.0,0.0,0,0,technical,low,EMP03059,7,Software Engineer,3.2,0,0.43
0.74,0.53,5.0,141,2.0,0.0,0,0,accounting,low,EMP04915,2,Financial Analyst,7.2,0,0.73
0.42,0.51,2.0,136,3.0,0.0,1,0,technical,medium,EMP00426,6,Software Engineer,7.2,0,0.57
0.47,0.47,4.0,191,3.0,0.0,0,0,technical,medium,EMP06910,11,Software Engineer,5.2,0,0.50
0.90,0.57,4.0,186,4.0,0.0,0,0,technical,medium,EMP06754,3,Software Engineer,8.8,0,0.89
0.62,0.68,3.0,226,3.0,0.0,0,0,technical,medium,EMP09050,3,Software Engineer,4.5,0,0.54
0.44,0.46,2.0,149,3.0,0.0,1,0,technical,low,EMP01112,6,Software Engineer,6.0,1,0.52
0.79,0.56,5.0,250,2.0,1.0,0,1,management,medium,EMP05118,8,Operations Manager,9.1,1,0.85
0.75,1.00,3.0,102,3.0,0.0,0,0,accounting,medium,EMP03616,2,Financial Analyst,8.2,0,0.78
0.43,0.52,2.0,147,3.0,0.0,1,0,sales,low,EMP00638,15,Sales Executive,4.3,0,0.43
0.87,0.91,4.0,228,5.0,0.0,1,0,sales,low,EMP00249,5,Sales Executive,9.3,0,0.90
0.50,0.85,4.0,150,2.0,0.0,0,0,support,high,EMP05621,7,Customer Support,4.9,0,0.50
0.09,0.96,6.0,259,4.0,0.0,1,0,support,low,EMP14724,7,Customer Support,1.9,0,0.14
0.50,0.99,4.0,272,2.0,0.0,0,0,sales,medium,EMP08029,5,Sales Executive,4.9,0,0.50
0.10,0.81,7.0,291,4.0,0.0,1,0,sales,high,EMP00697,12,Sales Executive,1.5,1,0.12
0.89,0.58,3.0,272,2.0,0.0,0,0,support,low,EMP08527,5,Customer Support,9.4,0,0.92
0.81,0.83,3.0,133,3.0,1.0,0,0,IT,medium,EMP03572,9,IT Support,8.0,0,0.80
0.40,0.50,2.0,127,3.0,0.0,1,0,IT,low,EMP01517,9,IT Support,4.0,0,0.40
0.50,0.59,3.0,260,3.0,0.0,0,0,IT,medium,EMP06168,8,IT Support,8.0,1,0.65
0.31,0.59,3.0,176,3.0,0.0,0,0,technical,medium,EMP04852,5,Software Engineer,3.9,0,0.35
0.38,0.53,2.0,157,3.0,0.0,1,0,sales,low,EMP14212,5,Sales Executive,6.4,0,0.51
0.43,0.47,2.0,149,3.0,0.0,1,0,sales,medium,EMP01012,17,Sales Executive,4.3,0,0.43
0.74,0.99,2.0,277,3.0,0.0,1,0,IT,medium,EMP00071,0,IT Support,7.1,1,0.72
0.44,0.69,2.0,173,2.0,0.0,0,0,technical,medium,EMP07373,15,Software Engineer,3.3,0,0.38
0.88,0.67,5.0,264,3.0,0.0,0,0,product_mng,medium,EMP13656,8,Product Manager,10.0,0,0.94
0.85,0.89,4.0,221,5.0,0.0,1,0,technical,low,EMP01179,6,Software Engineer,7.6,1,0.80
0.73,0.89,3.0,226,3.0,1.0,0,0,technical,high,EMP06952,2,Software Engineer,6.3,0,0.68
0.92,0.64,4.0,217,4.0,0.0,0,0,RandD,medium,EMP10910,4,Research Scientist,10.0,1,0.96
0.11,0.78,6.0,245,4.0,0.0,1,0,technical,low,EMP12746,5,Software Engineer,1.0,1,0.11
0.51,0.98,4.0,245,3.0,0.0,0,0,support,medium,EMP10509,6,Customer Support,4.7,0,0.49
0.67,0.74,3.0,226,3.0,0.0,0,0,product_mng,low,EMP10296,8,Product Manager,6.7,0,0.67
0.51,0.57,3.0,162,3.0,1.0,0,0,RandD,medium,EMP09539,1,Research Scientist,4.5,1,0.48
0.11,0.87,5.0,271,4.0,0.0,1,0,sales,low,EMP12477,13,Sales Executive,1.0,1,0.11
0.56,0.68,3.0,269,3.0,1.0,0,0,technical,low,EMP05457,8,Software Engineer,5.4,0,0.55
0.20,0.54,4.0,149,3.0,0.0,0,0,accounting,low,EMP08553,8,Financial Analyst,2.8,0,0.24
0.72,0.99,3.0,143,4.0,0.0,0,0,sales,low,EMP14108,9,Sales Executive,5.1,0,0.62
0.36,0.68,2.0,126,4.0,0.0,0,0,marketing,high,EMP09843,10,Marketing Analyst,3.0,1,0.33
0.45,0.48,2.0,158,3.0,0.0,1,0,technical,low,EMP00042,16,Software Engineer,5.8,0,0.52
0.56,0.89,4.0,263,3.0,0.0,0,0,accounting,low,EMP09647,6,Financial Analyst,6.2,0,0.59
0.72,0.91,3.0,267,2.0,0.0,0,0,support,low,EMP09130,8,Customer Support,8.5,0,0.78
0.54,0.76,3.0,183,3.0,0.0,0,0,sales,low,EMP13709,8,Sales Executive,6.2,0,0.58
0.44,0.55,2.0,135,3.0,0.0,1,0,support,low,EMP12052,5,Customer Support,3.3,1,0.38
